"","x"
"1",0
"2",0
"3",0
"4",0
"5",1
"6",2
"7",8
"8",22
"9",83
"10",132
"11",135
"12",79
"13",119
"14",146
"15",119
"16",129
"17",94
"18",79
"19",100
"20",85
"21",36
"22",11
"23",3
"24",0
"25",4
"26",0
"27",0
"28",0
"29",0
"30",0
"31",10
"32",33
"33",76
"34",153
"35",174
"36",69
"37",128
"38",114
"39",120
"40",119
"41",123
"42",86
"43",95
"44",80
"45",51
"46",31
"47",14
"48",1
"49",3
"50",0
"51",0
"52",0
"53",0
"54",0
"55",8
"56",22
"57",79
"58",125
"59",141
"60",154
"61",129
"62",129
"63",124
"64",149
"65",92
"66",107
"67",91
"68",80
"69",39
"70",9
"71",4
"72",0
"73",3
"74",1
"75",0
"76",0
"77",0
"78",0
"79",4
"80",21
"81",66
"82",118
"83",139
"84",103
"85",160
"86",106
"87",129
"88",122
"89",105
"90",76
"91",56
"92",45
"93",43
"94",22
"95",8
"96",2
"97",2
"98",0
"99",0
"100",0
"101",0
"102",0
"103",3
"104",23
"105",51
"106",115
"107",94
"108",82
"109",156
"110",123
"111",123
"112",88
"113",55
"114",56
"115",50
"116",22
"117",14
"118",2
"119",0
"120",0
"121",3
"122",0
"123",0
"124",0
"125",0
"126",0
"127",1
"128",2
"129",0
"130",0
"131",9
"132",16
"133",0
"134",0
"135",8
"136",3
"137",7
"138",3
"139",1
"140",0
"141",0
"142",0
"143",0
"144",2
"145",5
"146",3
"147",1
"148",0
"149",0
"150",0
"151",1
"152",2
"153",0
"154",0
"155",7
"156",13
"157",0
"158",0
"159",8
"160",2
"161",6
"162",3
"163",1
"164",0
"165",0
"166",0
"167",0
"168",1
"169",0
"170",0
"171",0
"172",0
"173",1
"174",2
"175",8
"176",28
"177",100
"178",132
"179",142
"180",93
"181",123
"182",134
"183",131
"184",139
"185",83
"186",80
"187",87
"188",76
"189",34
"190",9
"191",3
"192",0
"193",5
"194",0
"195",0
"196",0
"197",0
"198",0
"199",10
"200",34
"201",84
"202",161
"203",181
"204",77
"205",157
"206",134
"207",128
"208",122
"209",106
"210",92
"211",93
"212",72
"213",56
"214",36
"215",15
"216",2
"217",3
"218",0
"219",0
"220",0
"221",0
"222",0
"223",8
"224",24
