"","x"
"1",0
"2",4
"3",2
"4",0
"5",0
"6",0
"7",0
"8",3
"9",21
"10",63
"11",137
"12",133
"13",85
"14",153
"15",113
"16",148
"17",116
"18",116
"19",68
"20",44
"21",41
"22",35
"23",24
"24",9
"25",2
"26",3
"27",0
"28",0
"29",0
"30",0
"31",0
"32",3
"33",22
"34",61
"35",110
"36",95
"37",78
"38",148
"39",136
"40",120
"41",86
"42",63
"43",61
"44",57
"45",21
"46",12
"47",3
"48",0
"49",0
"50",3
"51",0
"52",0
"53",0
"54",0
"55",0
"56",1
"57",2
"58",0
"59",0
"60",7
"61",13
"62",0
"63",0
"64",8
"65",2
"66",6
"67",3
"68",1
"69",0
"70",0
"71",0
"72",0
"73",1
"74",5
"75",3
"76",1
"77",0
"78",0
"79",0
"80",2
"81",2
"82",0
"83",0
"84",6
"85",11
"86",0
"87",0
"88",8
"89",3
"90",7
"91",3
"92",1
"93",0
"94",0
"95",0
"96",0
"97",2
"98",0
"99",0
"100",0
"101",0
"102",1
"103",2
"104",8
"105",26
"106",97
"107",127
"108",140
"109",100
"110",138
"111",116
"112",121
"113",122
"114",93
"115",101
"116",106
"117",72
"118",40
"119",11
"120",3
"121",0
"122",4
"123",0
"124",0
"125",0
"126",0
"127",0
"128",11
"129",39
"130",90
"131",123
"132",174
"133",67
"134",158
"135",123
"136",136
"137",99
"138",98
"139",100
"140",96
"141",85
"142",64
"143",30
"144",14
"145",1
"146",3
"147",0
"148",0
"149",0
"150",0
"151",0
"152",8
"153",22
"154",79
"155",137
"156",126
"157",162
"158",121
"159",100
"160",114
"161",157
"162",120
"163",106
"164",82
"165",81
"166",40
"167",9
"168",3
"169",0
"170",3
"171",1
"172",0
"173",0
"174",0
"175",0
"176",4
"177",17
"178",72
"179",129
"180",153
"181",104
"182",124
"183",139
"184",122
"185",121
"186",106
"187",74
"188",48
"189",45
"190",42
"191",24
"192",9
"193",2
"194",3
"195",0
"196",0
"197",0
"198",0
"199",0
"200",3
"201",20
"202",50
"203",94
"204",113
"205",81
"206",123
"207",153
"208",141
"209",90
"210",59
"211",50
"212",52
"213",25
"214",14
"215",2
"216",0
"217",0
"218",3
"219",0
"220",0
"221",0
"222",0
"223",0
"224",1
"225",2
"226",0
"227",0
"228",9
"229",16
"230",0
"231",0
"232",7
"233",2
"234",6
"235",3
"236",1
"237",0
"238",0
"239",0
"240",0
"241",2
"242",6
"243",3
"244",1
"245",0
"246",0
"247",0
"248",2
"249",2
"250",0
"251",0
"252",6
"253",11
"254",0
"255",0
"256",8
"257",3
"258",7
