"","x"
"1",37745.5206233711
"2",35107.352204804
"3",33784.9410717765
"4",32536.6934080291
"5",28092.6080394564
"6",38322.3372688144
"7",49317.3885286129
"8",61658.0004637549
"9",56070.0863004999
"10",49212.2962749714
"11",45849.7638087592
"12",47933.8397009435
"13",48760.5550225885
"14",45921.5427485175
"15",49496.0716043486
"16",55974.5055635308
"17",70394.7967302209
"18",64908.2150753495
"19",61982.7349573081
"20",63976.6552905606
"21",59484.9478779954
"22",67115.9127647468
"23",64772.9403715858
"24",59773.3083494777
"25",53411.3112477216
"26",57997.0107979087
"27",51511.8095343202
"28",48444.8515744571
"29",42446.4097829195
"30",44574.2127283506
"31",57375.3986360472
"32",67269.4061560637
"33",59607.519660655
"34",54459.399228514
"35",52623.5133658821
"36",43480.997479692
"37",47489.0806411899
"38",46697.2905890499
"39",46927.7734108432
"40",55099.2599353256
"41",61654.3311050683
"42",60228.5456604978
"43",59410.9638643672
"44",58920.783390288
"45",61275.0867427654
"46",66679.0456829006
"47",63339.844814649
"48",61665.4732685878
"49",54336.3515345849
"50",60744.4440687675
"51",54987.9757955872
"52",54544.2903706688
"53",49265.7100148997
"54",53221.8361331135
"55",61168.9511133838
"56",73899.9782618593
"57",66506.1375936199
"58",58779.5591851831
"59",55513.7873082493
"60",48842.2237859608
"61",53003.9152215164
"62",50522.09046532
"63",52665.5130061702
"64",57356.779580499
"65",64342.0351569308
"66",64940.473289095
"67",56957.755377423
"68",56103.47886952
"69",60553.1763733375
"70",67748.2165119898
"71",66933.3949445061
"72",65738.6714900024
"73",59861.4560517232
"74",56224.9154600399
"75",54875.954848032
"76",55877.9624546407
"77",46524.0874517464
"78",48603.6334416119
"79",59829.1892440081
"80",71559.7954109919
"81",61187.6039499296
"82",56452.9848624433
"83",54143.8296002264
"84",49926.5401373064
"85",50447.2241307361
"86",50841.1974044175
"87",54376.2877614494
"88",60635.6578748241
"89",71503.6282878592
"90",73178.9018513989
"91",68271.8854099649
"92",65363.6540117145
"93",64862.0935156628
"94",71473.4061052344
"95",67542.7701079891
"96",61486.1185630718
"97",62499.1407336077
"98",60913.4562594573
"99",58491.8082054507
