; x ;
1;16,99;
2;29,72;
3;19,97;
4;21,94;
5;124,55;
6;124,78;
7;124,72;
8;103,87;
9;95,21;
10;100,03;
11;102,65;
12;119,31;
13;141,01;
14;170,04;
15;176,94;
16;163,92;
17;184,1;
18;124,78;
19;93,24;
20;49,03;
21;24,56;
22;21,56;
23;18,27;
24;20,23;
25;12,11;
26;13,99;
27;14,88;
28;15,55;
29;16,42;
30;39,96;
31;22,29;
32;16,54;
33;16,48;
34;16,81;
35;20,56;
36;23,88;
37;36,64;
38;50,29;
39;75,08;
40;80,45;
41;78,3;
42;69,67;
43;16,74;
44;10,32;
45;9,5;
46;7,34;
47;7,73;
48;11,85;
49;12,98;
50;14,95;
51;16,07;
52;16,19;
53;56,91;
54;93;
55;86,77;
56;54,05;
57;19,49;
58;22,25;
59;25,31;
60;64,96;
61;76,36;
62;86,56;
63;89,88;
64;89,92;
65;60,03;
66;15,56;
67;13,48;
68;11,9;
69;11,33;
70;11,64;
71;12,18;
72;13,09;
73;20,26;
74;60,06;
75;22,81;
76;16,91;
77;21,55;
78;35,58;
79;44,23;
80;22,93;
81;21,02;
82;19,57;
83;20,59;
84;17,03;
85;17,3;
86;16,13;
87;17,07;
88;13,27;
89;11,41;
90;11,13;
91;12,78;
92;12,29;
93;11,97;
94;11,89;
95;12,81;
96;12,15;
97;14,98;
98;16,54;
99;17,95;
100;36,25;
101;60,06;
102;74,54;
103;79,13;
104;69,92;
105;63,1;
106;56,15;
107;56,12;
108;61,66;
109;64,91;
110;64,99;
111;69,99;
112;43,8;
113;60,24;
114;54,73;
115;56;
116;58,65;
117;57,11;
118;60,06;
119;49,81;
120;26,01;
121;10,75;
122;12,63;
123;13,94;
124;17,94;
125;65,08;
126;89,84;
127;91,13;
128;84,86;
129;84,26;
130;78,91;
131;77,97;
132;76,45;
133;75,81;
134;80,19;
135;83,1;
136;86,24;
137;75,3;
138;58,29;
139;60,1;
140;14,45;
141;14;
142;13,18;
143;13,13;
144;13,94;
145;14,96;
146;19,15;
147;17,79;
148;20,94;
149;69,01;
150;96,92;
151;98,73;
152;99,13;
153;97,68;
154;96,73;
155;97,28;
156;94,95;
157;70;
158;49,91;
159;79,6;
160;95,21;
161;91,15;
162;87,83;
163;13,02;
164;7,77;
165;3,43;
166;4,18;
167;3,65;
168;6,63;
169;19,75;
170;21,61;
171;62,09;
172;95,55;
173;104,02;
174;119,26;
175;119,41;
176;108,59;
177;102,65;
178;101,46;
179;101,41;
180;98,78;
181;98,51;
182;99,96;
183;100;
184;105,5;
185;99,29;
186;81,18;
187;17,33;
188;15,79;
189;15,24;
190;14,96;
191;15,57;
192;15,95;
193;18,82;
194;30,68;
195;83,72;
196;86,35;
197;102,29;
198;117,21;
199;124,83;
200;120,83;
201;111,79;
202;107,77;
203;107,97;
204;107,97;
205;112,47;
206;120,66;
207;124,21;
208;124,19;
209;119,38;
210;103,62;
211;35,52;
212;19,91;
213;18,74;
214;18,02;
215;18,4;
216;19,45;
217;7,33;
218;12,23;
219;13,39;
220;14,88;
221;44,93;
222;88,59;
223;90,85;
224;87,91;
225;85,57;
226;83,04;
227;85,21;
228;87,55;
229;93,13;
230;97,25;
231;100,53;
232;102,41;
233;100,21;
234;73,33;
235;18,82;
236;15,24;
237;14,9;
238;14,68;
239;14,95;
240;16,16;
241;10,22;
242;11,89;
243;12,69;
244;12,76;
245;13,36;
246;22,98;
247;65;
248;75,09;
249;13,52;
250;12,64;
251;11,85;
252;11,77;
253;11,54;
254;11,17;
255;9,82;
256;4,85;
257;3,41;
258;2,78;
259;3,21;
260;2,06;
261;1,86;
262;1,82;
263;2,71;
264;3,41;
265;14,75;
266;15,81;
267;17,25;
268;17,46;
269;57,47;
270;78,91;
271;83,85;
272;73,11;
273;22,42;
274;15,92;
275;15,32;
276;14,14;
277;13,84;
278;12,64;
279;14,08;
280;10,86;
281;9,28;
282;3,28;
283;2,77;
284;1,47;
285;1,64;
286;3,44;
287;4,68;
288;6,73;
289;87,63;
290;95,97;
291;101,53;
292;105,1;
293;123,43;
294;269,97;
295;283,39;
296;222,25;
297;127,58;
298;117,53;
299;113,67;
300;109,69;
301;117,82;
302;125,06;
303;130,66;
304;129,98;
305;114,71;
306;98,81;
307;31,57;
308;16,57;
309;15,55;
310;15,24;
311;15,22;
312;15,4;
313;6,48;
314;11,75;
315;14,01;
316;13,68;
317;14,58;
318;59,99;
319;82,97;
320;81,78;
321;75,03;
322;59,93;
323;60;
324;55,95;
325;59,95;
326;83,98;
327;92,65;
328;98,43;
329;120,05;
330;134,93;
331;105,61;
332;43,05;
333;14,3;
334;14,72;
335;15,95;
336;21,94;
337;3,55;
338;4,77;
339;10,04;
340;10,17;
341;22,83;
342;83,96;
343;97,82;
344;95,09;
345;65,09;
346;28,44;
347;38,43;
348;40,96;
349;22,98;
350;22,99;
351;22,96;
352;75,19;
353;29,91;
354;12,07;
355;9,69;
356;4,92;
357;3,99;
358;3,81;
359;3,9;
360;3,92;
361;10,78;
362;15,98;
363;17,23;
364;15,99;
365;26,68;
366;93,91;
367;94,52;
368;70,09;
369;39,59;
370;16,73;
371;15,9;
372;12,78;
373;12,72;
374;16,72;
375;13,84;
376;49,54;
377;27,49;
378;10,75;
379;8,78;
380;4,34;
381;3,83;
382;3,46;
383;3,37;
384;2,93;
385;20,71;
386;83,22;
387;86,37;
388;86,89;
389;93,12;
390;97,8;
391;100,01;
392;97,51;
393;93,84;
394;93,58;
395;93,65;
396;93,61;
397;93,7;
398;96,43;
399;97,75;
400;99,75;
401;97,16;
402;65;
403;13,13;
404;12,05;
405;11,44;
406;11,11;
407;11,16;
408;11,01;
409;14,24;
410;25,16;
411;63,5;
412;64,93;
413;97,26;
414;88,06;
415;99,15;
416;97,82;
417;65,02;
418;55;
419;46,76;
420;57,92;
421;55,08;
422;45,01;
423;69,97;
424;64,92;
425;24,98;
426;20,19;
427;16,94;
428;15,92;
429;14,95;
430;14,84;
431;15,87;
432;17,13;
433;44,87;
434;64,99;
435;97,24;
436;97,27;
437;99,97;
438;103,18;
439;107,02;
440;102,78;
441;98,26;
442;69,86;
443;55;
444;56,33;
445;64,94;
446;59,97;
447;40,96;
448;21,92;
449;15,2;
450;14,87;
451;15,17;
452;14,7;
453;14;
454;14,15;
455;14,65;
456;15,16;
457;13,91;
458;15,91;
459;29,03;
460;32,28;
461;61,18;
462;101,8;
463;106,38;
464;102,42;
465;100,72;
466;99,91;
467;99,6;
468;98,53;
469;98,47;
470;99,63;
471;100,09;
472;102,25;
473;100,54;
474;98,16;
475;89,97;
476;13,58;
477;13,23;
478;13,66;
479;13,99;
480;14,22;
481;13,14;
482;15,94;
483;20,74;
484;53,81;
485;74,14;
486;98,69;
487;100,27;
488;99,11;
489;98,84;
490;97,8;
491;98,48;
492;98,58;
493;99,05;
494;99,56;
495;99,67;
496;101,79;
497;99,54;
498;87,19;
499;14,17;
500;13,65;
501;13,04;
502;12,75;
503;12,61;
504;12,58;
505;13,18;
506;14,75;
507;18,22;
508;16,94;
509;39,98;
510;90,82;
511;93,95;
512;92;
513;89,95;
514;72,98;
515;89,61;
516;59,92;
517;70,09;
518;62,11;
519;59,97;
520;94,4;
521;70,91;
522;21,04;
523;12,75;
524;12,24;
525;12,12;
526;12,23;
527;12,5;
528;13,25;
529;13,95;
530;30,02;
531;24,93;
532;16,21;
533;21,97;
534;86,14;
535;89,76;
536;90,06;
537;88,16;
538;87,04;
539;90,1;
540;88,35;
541;93,78;
542;96,82;
543;99,56;
544;103,79;
545;100,01;
546;85,87;
547;46,43;
548;14,4;
549;12,01;
550;12,07;
551;12,42;
552;13,25;
553;25,02;
554;83,15;
555;88,22;
556;81,05;
557;94,07;
558;95,3;
559;118,15;
560;122,44;
561;95,33;
562;94,78;
563;94,6;
564;70;
565;92,63;
566;90,02;
567;69,08;
568;95,36;
569;99,42;
570;100,5;
571;66,39;
572;13,36;
573;12,76;
574;12,64;
575;12,53;
576;12,36;
577;12,92;
578;14,07;
579;14,18;
580;14,18;
581;15,45;
582;26,19;
583;47,3;
584;30,78;
585;21,92;
586;22,55;
587;14,06;
588;13,7;
589;13,94;
590;13,58;
591;14,04;
592;12,93;
593;11,97;
594;10,69;
595;10,34;
596;9,31;
597;4,37;
598;3,47;
599;3,98;
600;5,01;
601;79,2;
602;98,61;
603;99,61;
604;98,57;
605;99,85;
606;103,83;
607;107;
608;105,27;
609;99,59;
610;96,08;
611;68,94;
612;72,91;
613;87,35;
614;75,82;
615;50,9;
616;21,91;
617;14,57;
618;14,34;
619;16,24;
620;13,96;
621;13,81;
622;13,92;
623;14;
624;21,57;
625;95,09;
626;121,68;
627;145,41;
628;98,05;
629;107,3;
630;123,59;
631;123,54;
632;112,37;
633;121,95;
634;111,23;
635;111,75;
636;123,54;
637;166,52;
638;174,2;
639;230,02;
640;269,91;
641;282,61;
642;237,66;
643;108,86;
644;104,17;
645;93,92;
646;90;
647;92,84;
648;100,45;
649;14,92;
650;61,52;
651;92,61;
652;97,5;
653;109,38;
654;114,57;
655;148,06;
656;162,92;
657;160,06;
658;160,1;
659;180,08;
660;209,02;
661;224,96;
662;200;
663;230,03;
664;248,73;
665;185,89;
666;121,46;
667;90,07;
668;68,01;
669;42,96;
670;42,96;
671;42,98;
672;90;
673;44,08;
674;89,94;
675;120;
676;109,96;
677;161,16;
678;166,89;
679;199,44;
680;203,05;
681;210,42;
682;166,89;
683;124,98;
684;140,01;
685;140,05;
686;118,68;
687;118,36;
688;117,94;
689;114,88;
690;72,04;
691;19,79;
692;16,1;
693;14,92;
694;13,54;
695;13,36;
696;13,35;
697;87,84;
698;105,85;
699;110,41;
700;114,66;
701;139,06;
702;149,94;
703;208,94;
704;148,95;
705;157,44;
706;139,09;
707;116,87;
708;118,26;
709;139,08;
710;139,02;
711;153,17;
712;153,93;
713;120,8;
714;98,94;
715;80,09;
716;27,25;
717;23,86;
718;23,85;
719;24,55;
720;25,78;
721;109,11;
722;118,66;
723;127,91;
724;114,01;
725;148,37;
726;157,6;
727;220,46;
728;217,06;
729;184,52;
730;169,75;
731;174,9;
732;201,91;
733;195,4;
734;235,91;
735;259,97;
736;282,05;
737;262,62;
738;208,18;
739;115,22;
740;104,9;
741;90,69;
742;89,15;
743;87,26;
744;98,61;
745;119,96;
746;127,69;
747;200;
748;184,1;
749;214,03;
750;250;
751;270,8;
752;227,38;
753;225;
754;218,9;
755;210,84;
756;213,58;
757;180,1;
758;216,8;
759;213,83;
760;159,01;
761;128,4;
762;117,15;
763;121,2;
764;119,58;
765;117,99;
766;118,41;
767;120,24;
768;126,96;
769;144,17;
770;192,33;
771;189,04;
772;211,43;
773;238,15;
774;247,94;
775;245,13;
776;217,03;
777;205,11;
778;198,34;
779;198,28;
780;210,07;
781;209,76;
782;203,01;
783;199,99;
784;181,53;
785;158,76;
786;163,68;
787;168,92;
788;140,01;
789;136,14;
790;138,55;
791;140,1;
792;176,78;
793;130,05;
794;183,92;
795;229,05;
796;310,16;
797;355,06;
798;410,13;
799;421,87;
800;360;
801;352,11;
802;342,77;
803;329,2;
804;299,03;
805;298,54;
806;295,83;
807;320,09;
808;331,14;
809;289,44;
810;215,76;
811;152,6;
812;139,95;
813;133,37;
814;137,04;
815;146,92;
816;150,89;
817;123,89;
818;142,39;
819;171,89;
820;215,06;
821;232,6;
822;228,92;
823;264,12;
824;271,67;
825;250,07;
826;189,04;
827;180,06;
828;167,56;
829;175,23;
830;189,08;
831;159,86;
832;210,04;
833;210,08;
834;120,06;
835;102,92;
836;91,01;
837;77,8;
838;91,93;
839;100,51;
840;119,03;
841;99,2;
842;149,91;
843;149,99;
844;139,93;
845;210,07;
846;212,04;
847;212,01;
848;212,05;
849;212,03;
850;200,04;
851;189;
852;212,04;
853;212,06;
854;212,04;
855;209,08;
856;212,01;
857;181,47;
858;167,87;
859;114,43;
860;96,94;
861;93,97;
862;97,39;
863;107;
864;127,25;
865;127,09;
866;146,37;
867;156,14;
868;172,05;
869;219;
870;298,54;
871;346,46;
872;319,95;
873;297,64;
874;251,9;
875;226,37;
876;217,52;
877;221,44;
878;196,48;
879;199,54;
880;200,1;
881;163,67;
882;160,22;
883;154,94;
884;149,9;
885;139,97;
886;109,9;
887;139,9;
888;99,17;
889;106,48;
890;119,59;
891;116,71;
892;118,05;
893;140,03;
894;179,73;
895;190,32;
896;228,23;
897;209,04;
898;234,1;
899;228,28;
900;230,01;
901;230,05;
902;247,63;
903;259,99;
904;256,41;
905;255;
906;186,67;
907;136,31;
908;115,02;
909;111,39;
910;118,09;
911;124,99;
912;141,25;
913;119,86;
914;150,03;
915;149,97;
916;133,21;
917;161,59;
918;212,87;
919;243,05;
920;222;
921;210;
922;213,48;
923;210,06;
924;222,45;
925;220,1;
926;230;
927;215,92;
928;139,96;
929;128,3;
930;129,92;
931;103,61;
932;93,92;
933;98,31;
934;102,37;
935;105,21;
936;110;
937;129,59;
938;150,05;
939;166,82;
940;156,59;
941;215,68;
942;253,76;
943;256,91;
944;223,57;
945;209,78;
946;175,35;
947;159,69;
948;200,06;
949;201,08;
950;141,48;
951;121,43;
952;100,05;
953;91,9;
954;87,11;
955;95,76;
956;80,92;
957;80,99;
958;84,63;
959;87,92;
960;87,48;
961;162,1;
962;195,5;
963;199;
964;263,17;
965;317,34;
966;350,05;
967;520,69;
968;626,06;
969;456,77;
970;322,67;
971;322,88;
972;339,87;
973;353,01;
974;360;
975;363,67;
976;371,54;
977;348,1;
978;263,39;
979;177,58;
980;136,62;
981;129,48;
982;125,92;
983;126,91;
984;129,06;
985;168;35
986;180;2
987;250;7
988;260;5
989;792;12
990;650;2
991;400;6
992;500;7
993;650;6
994;976;98
995;500;4
996;650;
997;650;3
998;650;5
999;650;2
1000;650;4
1001;1 000;7
1002;650;6
1003;250;1
1004;180;35
